==============================================================================
==============================================================================
Thu. Oct. 20 2016                  LANDSAT 5                       Time: 21:21
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501610196671_01358                          Path / Row - 231 / 62
Reference Image: L51CUB1009253130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2310620619   -2.18834    -61.11490     0.06     -0.27     0.28     1 
2310620621   -2.18827    -61.05882     0.08     -0.20     0.22     1 
2310620622   -2.18823    -61.03077    -0.16     -0.16     0.22     1 
2310620623   -2.18819    -61.00273    -0.14     -0.21     0.26     1 
2310620624   -2.18815    -60.97469    -0.18     -0.14     0.23     1 
2310620628   -2.18800    -60.86253    -0.05     -0.29     0.30     1 
2310620629   -2.18796    -60.83449    -0.07     -0.27     0.28     1 
2310620632   -2.18783    -60.75038    -0.19      0.08     0.21     1 
2310620633   -2.18779    -60.72234    -0.05     -0.07     0.08     1 
2310620634   -2.18775    -60.69430    -0.04     -0.03     0.05     1 
2310620636   -2.18766    -60.63823    -0.07      0.04     0.08     1 
2310620692   -2.21337    -61.17096    -0.05     -0.25     0.25     1 
2310620693   -2.21333    -61.14292    -0.14     -0.33     0.36     1 
2310620694   -2.21329    -61.11487     0.30     -0.10     0.32     1 
2310620695   -2.21326    -61.08683     0.27     -0.14     0.30     1 
2310620696   -2.21322    -61.05879     0.02     -0.30     0.30     1 
2310620698   -2.21315    -61.00270    -0.16     -0.15     0.22     1 
2310620699   -2.21311    -60.97466    -0.16     -0.10     0.19     1 
2310620702   -2.21299    -60.89053    -0.03     -0.16     0.16     1 
2310620707   -2.21278    -60.75034    -0.08     -0.06     0.10     1 
2310620708   -2.21274    -60.72230    -0.04     -0.13     0.14     1 
2310620709   -2.21270    -60.69427    -0.08     -0.11     0.13     1 
2310620710   -2.21265    -60.66623    -0.00     -0.03     0.04     1 
2310620741   -2.21102    -59.79742     0.00      0.09     0.09     1 
2310620767   -2.23832    -61.17093     0.04     -0.17     0.18     1 
2310620769   -2.23825    -61.11484    -0.07      0.04     0.08     1 
2310620770   -2.23821    -61.08680     0.31     -0.19     0.37     1 
2310620771   -2.23818    -61.05875    -0.05     -0.25     0.25     1 
2310620772   -2.23814    -61.03071     0.04     -0.21     0.21     1 
2310620773   -2.23810    -61.00267    -0.01     -0.35     0.35     1 
2310620774   -2.23806    -60.97462    -0.20     -0.19     0.27     1 
2310620777   -2.23794    -60.89050    -0.13     -0.16     0.21     1 
2310620778   -2.23790    -60.86246    -0.11     -0.22     0.25     1 
2310620779   -2.23786    -60.83442    -0.17     -0.22     0.28     1 
2310620782   -2.23773    -60.75030    -0.08     -0.01     0.09     1 
2310620783   -2.23769    -60.72226    -0.05      0.05     0.07     1 
2310620784   -2.23765    -60.69423     0.02     -0.08     0.08     1 
2310620785   -2.23760    -60.66619    -0.09     -0.02     0.09     1 
2310620786   -2.23756    -60.63815     0.01     -0.01     0.01     1 
2310620787   -2.23751    -60.61012    -0.16     -0.10     0.19     1 
2310620811   -2.23625    -59.93745    -0.23      0.06     0.24     1 
2310620816   -2.23595    -59.79736     0.07      0.16     0.17     1 
2310620844   -2.26321    -61.11481    -0.01     -0.20     0.20     1 
2310620845   -2.26317    -61.08676    -0.11     -0.25     0.27     1 
2310620846   -2.26313    -61.05872     0.16     -0.26     0.30     1 
2310620848   -2.26306    -61.00263    -0.18     -0.11     0.21     1 
2310620849   -2.26302    -60.97459    -0.14     -0.14     0.20     1 
2310620852   -2.26290    -60.89046    -0.17     -0.15     0.23     1 
2310620853   -2.26286    -60.86242    -0.02     -0.07     0.07     1 
2310620854   -2.26281    -60.83438    -0.09     -0.08     0.12     1 
2310620855   -2.26277    -60.80634    -0.10     -0.03     0.10     1 
2310620856   -2.26273    -60.77830    -0.18     -0.14     0.23     1 
2310620857   -2.26268    -60.75026    -0.07     -0.14     0.16     1 
2310620858   -2.26264    -60.72223    -0.05     -0.11     0.12     1 
2310620859   -2.26260    -60.69419     0.04     -0.11     0.11     1 
2310620860   -2.26255    -60.66615    -0.09     -0.12     0.15     1 
2310620861   -2.26251    -60.63811    -0.07     -0.01     0.07     1 
2310620862   -2.26246    -60.61008    -0.05     -0.04     0.06     1 
2310620870   -2.26207    -60.38581     0.18     -0.02     0.18     1 
2310620885   -2.26125    -59.96542     0.03     -0.01     0.04     1 
2310620886   -2.26119    -59.93740     0.05     -0.03     0.06     1 
2310620890   -2.26094    -59.82533     0.17      0.04     0.18     1 
2310620919   -2.28816    -61.11478    -0.05     -0.16     0.17     1 
2310620920   -2.28813    -61.08673    -0.07     -0.01     0.07     1 
