Thu. Oct. 20, 2016             LANDSAT 5                 Time: 16:14
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20592208            Path/Row: 231 / 062

L0R Reference Image: L51CUB1009253130101_HDF.162941603
Acquisition Date: Sep 10, 2009

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
231   062   08-11-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2310620087_01   -3.005196  -60.051508    37.492      -0.836    -6.313     0.093    -6.373
2310620088_01   -3.244925  -60.607308    17.640      -6.319     3.670    -6.790     2.712
2310620089_01   -3.089121  -60.213881    14.091       3.006     2.567     2.602     2.979
2310620090_01   -2.902070  -59.903787    28.861      -0.341    -2.968     0.095    -2.989
2310620091_01   -3.434965  -60.284688     2.155       0.961    -3.197     1.418    -3.025
2310620092_01   -2.952858  -60.041942    32.414      -2.454     2.313    -2.766     1.933
2310620093_01   -2.659873  -59.730069    17.564       1.769     1.204     1.578     1.450
2310620095_01   -2.791594  -60.046401    52.678      -2.958    -4.449    -2.281    -4.836
2310620097_01   -2.716956  -60.751920    13.593       0.925     1.828     0.650     1.944
2310620098_01   -2.485006  -60.034189    66.449       1.568     4.382     0.916     4.567
2310620099_01   -3.303939  -60.565348    17.796      -3.323    -2.173    -2.973    -2.636
2310620100_01   -3.057061  -60.085611    66.393       6.853    -0.944     6.923     0.063
2310620101_01   -2.555459  -60.025405    97.687      -2.284    -5.044    -1.528    -5.327
2310620102_01   -3.260958  -60.861716     7.222      -0.435     2.751    -0.832     2.660
2310620103_01   -3.599653  -60.518714     7.556       0.907     0.008     0.897     0.140
2310620104_01   -3.066978  -60.044870    70.120      -0.092    -3.598     0.434    -3.576
2310620105_01   -2.848015  -59.858651    26.609      -3.692     1.792    -3.917     1.238
2310620107_01   -3.167936  -60.089890     9.455      -2.444    -2.598    -2.041    -2.929
2310620108_01   -2.832627  -60.087273     8.234       3.057    -4.175     3.635    -3.690
2310620109_01   -3.182805  -60.598280    23.458       5.750     4.236     5.075     5.031
2310620110_01   -3.276468  -60.643658    22.210       1.577    -2.285     1.893    -2.031
2310620111_01   -2.724941  -60.057078    35.261      -4.231    -0.153    -4.167    -0.767
2310620112_01   -3.086415  -60.017044    31.763      -0.797    -2.336    -0.448    -2.430
2310620114_01   -3.078140  -59.873098    23.904      -3.278     1.880    -3.520     1.385
2310620115_01   -3.192123  -61.170035    29.452       0.662     3.458     0.151     3.518
2310620116_01   -2.635768  -59.734443    21.877       1.080    -1.372     1.270    -1.202
2310620117_01   -2.873403  -59.925967    38.553       1.562     1.309     1.356     1.524
2310620119_01   -3.186249  -60.143774    26.335       0.215     0.710     0.110     0.734
2310620120_01   -3.030368  -60.138531     2.051      -4.515    -4.215    -3.857    -4.831
2310620121_01   -3.369632  -59.922905     5.841      -1.336     2.315    -1.661     2.098
2310620122_01   -3.161999  -60.404645    10.364       1.609    -5.729     2.428    -5.437
2310620123_01   -3.260527  -60.668517     6.454      -0.712    -1.746    -0.450    -1.832
2310620124_01   -2.893176  -59.921871    27.397      -1.558     4.789    -2.240     4.516
2310620125_01   -2.819770  -59.937160    76.870      -2.024     2.541    -2.374     2.222
2310620126_01   -2.890749  -60.027278    35.462       0.388     3.867    -0.179     3.886
2310620127_01   -3.032430  -60.098889     7.718      -5.664     4.059    -6.199     3.195
2310620128_01   -3.245140  -60.072952    28.348       4.712    -4.497     5.322    -3.766
2310620130_01   -2.905546  -59.886526    18.615      -1.559     3.332    -2.029     3.073
2310620131_01   -3.046462  -59.977792    26.079       3.078     4.170     2.441     4.578
2310620132_01   -3.008315  -60.205730    12.866      -0.551     3.801    -1.099     3.683
2310620133_01   -2.998339  -60.122706    13.706       2.511     1.074     2.331     1.429
2310620134_01   -3.694273  -60.514136     5.981       1.911    -3.707     2.433    -3.390
